participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback
3162592a,B,Instructions,1,block1,high_noise,0,win,4059,1,0,0
3162592a,B,Instructions,2,block1,high_noise,0,win,1903,1,0,0
3162592a,B,Instructions,3,block1,high_noise,0,win,2451,1,0,0
3162592a,B,Instructions,4,block1,high_noise,0,loss,1678,1,0,1
3162592a,B,Instructions,5,block1,high_noise,0,win,1884,1,0,0
3162592a,B,Instructions,6,block1,high_noise,1,loss,2270,0,0,0
3162592a,B,Instructions,7,block1,high_noise,0,win,630,1,0,0
3162592a,B,Instructions,8,block1,high_noise,0,loss,729,1,0,1
3162592a,B,Instructions,9,block1,high_noise,0,win,755,1,0,0
3162592a,B,Instructions,10,block1,high_noise,0,win,3127,1,0,0
3162592a,B,Instructions,11,block1,high_noise,0,loss,764,0,1,0
3162592a,B,Instructions,12,block1,high_noise,0,loss,319,0,1,0
3162592a,B,Instructions,13,block1,high_noise,0,loss,699,0,1,0
3162592a,B,Instructions,14,block1,high_noise,0,loss,551,0,1,0
3162592a,B,Instructions,15,block1,high_noise,1,win,1719,1,1,0
3162592a,B,Instructions,16,block1,high_noise,1,loss,542,1,1,1
3162592a,B,Instructions,17,block1,high_noise,0,loss,200,0,1,0
3162592a,B,Instructions,18,block1,high_noise,0,loss,289,0,1,0
3162592a,B,Instructions,19,block1,high_noise,0,loss,1372,0,1,0
3162592a,B,Instructions,20,block1,high_noise,1,win,71,1,1,0
3162592a,B,Instructions,21,block1,high_noise,1,loss,1420,1,1,1
3162592a,B,Instructions,22,block1,high_noise,0,loss,360,0,1,0
3162592a,B,Instructions,23,block1,high_noise,0,loss,1234,0,1,0
3162592a,B,Instructions,24,block1,high_noise,1,win,535,1,1,0
3162592a,B,Instructions,25,block1,high_noise,0,loss,998,0,1,0
3162592a,B,Instructions,26,block1,high_noise,1,loss,412,0,0,0
3162592a,B,Instructions,27,block1,high_noise,0,win,3750,0,1,1
3162592a,B,Instructions,28,block1,high_noise,0,win,1358,0,1,1
3162592a,B,Instructions,29,block1,high_noise,0,win,565,0,1,1
3162592a,B,Instructions,30,block1,high_noise,0,loss,565,0,1,0
3162592a,B,Instructions,31,block1,high_noise,0,loss,594,0,1,0
3162592a,B,Instructions,32,block1,high_noise,1,win,1300,1,1,0
3162592a,B,Instructions,33,block1,high_noise,0,loss,248,0,1,0
3162592a,B,Instructions,34,block1,high_noise,1,win,567,1,1,0
3162592a,B,Instructions,35,block1,high_noise,1,loss,569,1,1,1
3162592a,B,Instructions,36,block1,high_noise,0,loss,1180,0,1,0
3162592a,B,Instructions,37,block1,high_noise,0,loss,424,0,1,0
3162592a,B,Instructions,38,block1,high_noise,1,win,1957,1,1,0
3162592a,B,Instructions,39,block1,high_noise,1,win,403,1,1,0
3162592a,B,Instructions,40,block1,high_noise,1,win,324,1,1,0
3162592a,B,Instructions,41,block1,high_noise,1,win,626,1,1,0
3162592a,B,Instructions,42,block1,high_noise,1,win,414,1,1,0
3162592a,B,Instructions,43,block1,high_noise,1,loss,207,1,1,1
3162592a,B,Instructions,44,block1,high_noise,0,win,1266,0,1,1
