participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback
aed15edd,B,Instructions,1,block1,medium_noise,0,loss,3396,0,1,0
aed15edd,B,Instructions,2,block1,medium_noise,1,loss,2923,1,1,1
aed15edd,B,Instructions,3,block1,medium_noise,1,loss,735,1,1,1
aed15edd,B,Instructions,4,block1,medium_noise,0,loss,258,0,1,0
aed15edd,B,Instructions,5,block1,medium_noise,0,win,545,1,0,0
aed15edd,B,Instructions,6,block1,medium_noise,0,win,7657,1,0,0
aed15edd,B,Instructions,7,block1,medium_noise,1,win,4161,0,0,1
aed15edd,B,Instructions,8,block1,medium_noise,0,win,3889,1,0,0
aed15edd,B,Instructions,9,block1,medium_noise,0,win,1529,1,0,0
aed15edd,B,Instructions,10,block1,medium_noise,1,loss,2471,0,0,0
aed15edd,B,Instructions,11,block1,medium_noise,1,win,1491,1,1,0
aed15edd,B,Instructions,12,block1,medium_noise,0,loss,1222,0,1,0
aed15edd,B,Instructions,13,block1,medium_noise,0,loss,1184,0,1,0
aed15edd,B,Instructions,14,block1,medium_noise,0,loss,2761,0,1,0
aed15edd,B,Instructions,15,block1,medium_noise,0,loss,1016,0,1,0
aed15edd,B,Instructions,16,block1,medium_noise,1,win,440,1,1,0
aed15edd,B,Instructions,17,block1,medium_noise,1,win,768,1,1,0
aed15edd,B,Instructions,18,block1,medium_noise,0,loss,495,0,1,0
aed15edd,B,Instructions,19,block1,medium_noise,1,win,657,1,1,0
aed15edd,B,Instructions,20,block1,medium_noise,1,win,747,1,1,0
aed15edd,B,Instructions,21,block1,medium_noise,0,loss,698,0,1,0
aed15edd,B,Instructions,22,block1,medium_noise,1,win,811,1,1,0
aed15edd,B,Instructions,23,block1,medium_noise,1,win,1012,1,1,0
aed15edd,B,Instructions,24,block1,medium_noise,1,win,1221,1,1,0
aed15edd,B,Instructions,25,block1,medium_noise,1,win,1059,1,1,0
aed15edd,B,Instructions,26,block1,medium_noise,0,loss,1303,0,1,0
aed15edd,B,Instructions,27,block1,medium_noise,1,win,727,1,1,0
aed15edd,B,Instructions,28,block1,medium_noise,1,win,1179,1,1,0
aed15edd,B,Instructions,29,block1,medium_noise,1,win,915,1,1,0
aed15edd,B,Instructions,30,block1,medium_noise,1,win,1072,1,1,0
aed15edd,B,Instructions,31,block1,medium_noise,1,loss,1123,1,1,1
aed15edd,B,Instructions,32,block1,medium_noise,0,loss,623,0,1,0
aed15edd,B,Instructions,33,block1,medium_noise,0,loss,540,0,1,0
aed15edd,B,Instructions,34,block1,medium_noise,0,loss,632,0,1,0
aed15edd,B,Instructions,35,block1,medium_noise,0,loss,796,0,1,0
aed15edd,B,Instructions,36,block1,medium_noise,0,loss,867,0,1,0
aed15edd,B,Instructions,37,block1,medium_noise,1,loss,421,0,0,0
aed15edd,B,Instructions,38,block1,medium_noise,0,win,42,0,1,1
