participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback
c973295f,A,No Instructions,1,block1,medium_noise,0,loss,4006,1,0,1
c973295f,A,No Instructions,2,block1,medium_noise,1,loss,2668,0,0,0
c973295f,A,No Instructions,3,block1,medium_noise,0,win,3391,1,0,0
c973295f,A,No Instructions,4,block1,medium_noise,0,win,2642,1,0,0
c973295f,A,No Instructions,5,block1,medium_noise,0,win,2070,1,0,0
c973295f,A,No Instructions,6,block1,medium_noise,0,win,1354,1,0,0
c973295f,A,No Instructions,7,block1,medium_noise,0,win,640,1,0,0
c973295f,A,No Instructions,8,block1,medium_noise,0,win,679,1,0,0
c973295f,A,No Instructions,9,block1,medium_noise,0,win,1320,1,0,0
c973295f,A,No Instructions,10,block1,medium_noise,0,win,749,1,0,0
c973295f,A,No Instructions,11,block1,medium_noise,0,win,703,1,0,0
c973295f,A,No Instructions,12,block1,medium_noise,0,win,843,1,0,0
c973295f,A,No Instructions,13,block1,medium_noise,0,win,659,1,0,0
c973295f,A,No Instructions,14,block1,medium_noise,0,loss,592,0,1,0
c973295f,A,No Instructions,15,block1,medium_noise,0,loss,1730,0,1,0
c973295f,A,No Instructions,16,block1,medium_noise,1,win,1620,1,1,0
c973295f,A,No Instructions,17,block1,medium_noise,1,loss,812,0,0,0
c973295f,A,No Instructions,18,block1,medium_noise,0,loss,833,1,0,1
c973295f,A,No Instructions,19,block1,medium_noise,0,win,1010,1,0,0
c973295f,A,No Instructions,20,block1,medium_noise,0,win,781,1,0,0
c973295f,A,No Instructions,21,block1,medium_noise,0,win,593,1,0,0
c973295f,A,No Instructions,22,block1,medium_noise,0,win,953,1,0,0
c973295f,A,No Instructions,23,block1,medium_noise,0,win,443,1,0,0
c973295f,A,No Instructions,24,block1,medium_noise,0,win,1314,1,0,0
c973295f,A,No Instructions,25,block1,medium_noise,0,loss,673,1,0,1
c973295f,A,No Instructions,26,block1,medium_noise,1,loss,1260,0,0,0
c973295f,A,No Instructions,27,block1,medium_noise,0,win,2228,1,0,0
c973295f,A,No Instructions,28,block1,medium_noise,0,loss,407,0,1,0
c973295f,A,No Instructions,29,block1,medium_noise,0,win,2460,0,1,1
c973295f,A,No Instructions,30,block1,medium_noise,0,loss,612,0,1,0
c973295f,A,No Instructions,31,block1,medium_noise,0,loss,884,0,1,0
c973295f,A,No Instructions,32,block1,medium_noise,0,loss,1078,0,1,0
c973295f,A,No Instructions,33,block1,medium_noise,1,loss,920,1,1,1
c973295f,A,No Instructions,34,block1,medium_noise,0,loss,229,0,1,0
c973295f,A,No Instructions,35,block1,medium_noise,0,win,752,0,1,1
c973295f,A,No Instructions,36,block1,medium_noise,0,loss,357,0,1,0
c973295f,A,No Instructions,37,block1,medium_noise,1,win,762,1,1,0
c973295f,A,No Instructions,38,block1,medium_noise,0,win,1395,0,1,1
c973295f,A,No Instructions,39,block1,medium_noise,0,loss,1079,0,1,0
c973295f,A,No Instructions,40,block1,medium_noise,1,win,358,1,1,0
c973295f,A,No Instructions,41,block1,medium_noise,0,loss,369,0,1,0
c973295f,A,No Instructions,42,block1,medium_noise,1,win,300,1,1,0
c973295f,A,No Instructions,43,block1,medium_noise,1,loss,486,1,1,1
c973295f,A,No Instructions,44,block1,medium_noise,0,loss,399,0,1,0
c973295f,A,No Instructions,45,block1,medium_noise,1,win,944,1,1,0
c973295f,A,No Instructions,46,block1,medium_noise,1,win,1293,1,1,0
c973295f,A,No Instructions,47,block1,medium_noise,0,loss,1527,0,1,0
c973295f,A,No Instructions,48,block1,medium_noise,1,win,465,1,1,0
c973295f,A,No Instructions,49,block1,medium_noise,1,win,509,1,1,0
c973295f,A,No Instructions,50,block1,medium_noise,1,loss,991,1,1,1
c973295f,A,No Instructions,1,block2,high_noise,0,loss,2080,1,0,1
c973295f,A,No Instructions,2,block2,high_noise,0,win,1256,0,1,1
c973295f,A,No Instructions,3,block2,high_noise,0,loss,377,0,1,0
c973295f,A,No Instructions,4,block2,high_noise,1,win,445,1,1,0
c973295f,A,No Instructions,5,block2,high_noise,1,loss,418,0,0,0
c973295f,A,No Instructions,6,block2,high_noise,0,win,450,1,0,0
c973295f,A,No Instructions,7,block2,high_noise,0,win,418,1,0,0
c973295f,A,No Instructions,8,block2,high_noise,0,win,352,1,0,0
c973295f,A,No Instructions,9,block2,high_noise,0,loss,319,1,0,1
c973295f,A,No Instructions,10,block2,high_noise,0,win,371,1,0,0
c973295f,A,No Instructions,11,block2,high_noise,0,win,240,1,0,0
c973295f,A,No Instructions,12,block2,high_noise,0,loss,185,0,1,0
c973295f,A,No Instructions,13,block2,high_noise,0,loss,281,0,1,0
c973295f,A,No Instructions,14,block2,high_noise,0,loss,181,0,1,0
c973295f,A,No Instructions,15,block2,high_noise,0,loss,300,0,1,0
c973295f,A,No Instructions,16,block2,high_noise,1,loss,488,1,1,1
c973295f,A,No Instructions,17,block2,high_noise,0,win,120,0,1,1
c973295f,A,No Instructions,18,block2,high_noise,0,loss,90,0,1,0
c973295f,A,No Instructions,19,block2,high_noise,1,loss,685,0,0,0
