participant_id,n_trials,human_accuracy,varvol_accuracy,weber_accuracy,varvol_choice_match,weber_choice_match,varvol_choice_match_std,weber_choice_match_std,task_beta,task_switches,task_traps
25da8b12-9a43-40cd-84f2-5b152a5f0f7f,100,0.55,0.5604,0.5456,0.5276,0.5344000000000001,0.05626935222658957,0.051813511751279705,0.6699999999999999,32,33
adaptive_lab_07ee303f,100,0.76,0.5005999999999999,0.508,0.5306000000000001,0.5416000000000001,0.04249282292340672,0.0399179157772547,0.81,62,19
adaptive_lab_08d9887c,100,0.77,0.6455999999999998,0.67,0.6212000000000001,0.6287999999999999,0.052139812044156804,0.03356426671327709,0.71,39,29
adaptive_lab_09b45851,100,0.5,0.6446,0.665,0.5758,0.5634,0.03639175730848951,0.031787418894902414,0.76,36,24
adaptive_lab_1671e99c,100,0.71,0.6902000000000001,0.6923999999999999,0.6234000000000001,0.6356,0.032038102315836384,0.0343604423720068,0.83,33,17
adaptive_lab_1ea56ad2,100,0.8,0.6931999999999999,0.7515999999999999,0.6684,0.72,0.03956564166041036,0.027129319932501082,0.77,28,23
adaptive_lab_22a6875c,100,0.64,0.491,0.5086,0.4894,0.509,0.0447843722742655,0.045442271070007055,0.6799999999999999,68,32
adaptive_lab_2eade079,100,0.66,0.49199999999999994,0.4895999999999999,0.5928,0.6055999999999999,0.03965047288494805,0.041238816665855,0.75,56,25
adaptive_lab_3162592a,100,0.61,0.4724000000000001,0.4656,0.5604,0.5863999999999999,0.048742589180305135,0.044621071255629884,0.81,71,19
adaptive_lab_390371f9,100,0.45,0.6862,0.6930000000000001,0.44699999999999995,0.37300000000000005,0.03737646318206152,0.03925557285278104,0.78,26,22
adaptive_lab_42003269,100,0.62,0.6911999999999999,0.6961999999999997,0.618,0.6406000000000001,0.03800000000000001,0.038544000830220006,0.76,39,24
adaptive_lab_4b7a6ad7,100,0.64,0.6868000000000001,0.6712,0.6664,0.7044,0.03559550533424128,0.02728809264129686,0.76,21,24
adaptive_lab_52ae4c1c,100,0.5,0.6102,0.6402,0.513,0.5046,0.03244996147917592,0.04157932178379057,0.74,33,26
adaptive_lab_534d2332,100,0.52,0.6216,0.6448,0.5036,0.518,0.03772320240912748,0.04195235392680607,0.79,38,21
adaptive_lab_57523f00,100,0.54,0.5425999999999999,0.5469999999999999,0.539,0.5498,0.049122296363260536,0.04130326863578716,0.7,37,30
adaptive_lab_62d173ea,100,0.43,0.6278000000000001,0.6818000000000001,0.485,0.4738000000000001,0.03689173349139345,0.03248938288118136,0.73,39,27
