participant_id,group,instruction_condition,n_trials,block1_condition,block2_condition,human_acc_overall,human_acc_block1,human_acc_block2,varvol_acc_overall,varvol_acc_block1,varvol_acc_block2,weber_acc_overall,weber_acc_block1,weber_acc_block2,varvol_match_overall,varvol_match_overall_std,varvol_match_block1,varvol_match_block1_std,varvol_match_block2,varvol_match_block2_std,weber_match_overall,weber_match_overall_std,weber_match_block1,weber_match_block1_std,weber_match_block2,weber_match_block2_std,task_switches,task_traps,task_beta
25da8b12-9a43-40cd-84f2-5b152a5f0f7f,A,No Instructions,100,high_noise,medium_noise,0.55,0.5,0.6,0.5694999999999999,0.587,0.552,0.5545000000000001,0.6239999999999999,0.485,0.5125,0.04581211630125813,0.5029999999999999,0.05736723803705387,0.522,0.07039886362719215,0.48249999999999993,0.03533765696816924,0.466,0.048207883172775814,0.4990000000000001,0.060158124970780144,6,33,0.6699999999999999
adaptive_lab_07ee303f,B,Instructions,100,high_noise,medium_noise,0.76,0.88,0.64,0.7015,0.743,0.6599999999999999,0.6975,0.7310000000000001,0.6639999999999999,0.7605000000000001,0.029576172842340518,0.8009999999999999,0.04264973622427224,0.72,0.046043457732885346,0.7475000000000002,0.03207413287993928,0.7750000000000001,0.05894913061275797,0.72,0.042895221179054435,8,19,0.81
adaptive_lab_08d9887c,B,Instructions,100,high_noise,medium_noise,0.77,0.92,0.62,0.708,0.7289999999999999,0.687,0.711,0.7459999999999999,0.6759999999999999,0.6930000000000001,0.0477598157450382,0.759,0.05673623181001713,0.627,0.077272245987806,0.7030000000000001,0.032109188716004634,0.7859999999999999,0.04565084884205331,0.6199999999999999,0.04774934554525328,3,29,0.71
adaptive_lab_09b45851,A,No Instructions,100,medium_noise,high_noise,0.5,0.58,0.42,0.7049999999999998,0.7409999999999999,0.6689999999999998,0.7175,0.769,0.666,0.564,0.036523964735499334,0.5970000000000001,0.03963584236521283,0.531,0.06587108622149783,0.5814999999999999,0.03275286247032462,0.6089999999999999,0.04357751713900184,0.554,0.04386342439892261,6,24,0.76
adaptive_lab_1671e99c,B,Instructions,100,high_noise,medium_noise,0.71,0.7,0.72,0.7689999999999999,0.7540000000000001,0.784,0.76,0.73,0.79,0.714,0.03527038417709679,0.6839999999999999,0.05571355310873648,0.7439999999999999,0.03826225293941799,0.742,0.03310589071449373,0.724,0.05003998401278722,0.76,0.03464101615137755,5,17,0.83
adaptive_lab_1ea56ad2,B,Instructions,100,high_noise,medium_noise,0.8,0.7,0.9,0.764,0.715,0.813,0.7729999999999999,0.6929999999999998,0.853,0.8119999999999999,0.029597297173897467,0.797,0.04160528812542943,0.8270000000000002,0.044844174649557325,0.8119999999999999,0.03841874542459708,0.771,0.0637102817447859,0.853,0.028478061731796296,4,23,0.77
adaptive_lab_22a6875c,A,No Instructions,100,medium_noise,high_noise,0.64,0.62,0.66,0.6955000000000001,0.758,0.6330000000000001,0.669,0.797,0.5410000000000001,0.5805,0.037745860700214524,0.5680000000000001,0.047497368348151665,0.593,0.049507575177946246,0.546,0.043863424398922615,0.6010000000000001,0.04121892769104991,0.491,0.08086408349817611,4,32,0.6799999999999999
adaptive_lab_2eade079,B,Instructions,100,high_noise,medium_noise,0.66,0.6,0.72,0.6335,0.607,0.6599999999999999,0.624,0.6219999999999999,0.6260000000000001,0.7234999999999999,0.03275286247032464,0.683,0.057017541160593724,0.764,0.047159304490206375,0.729,0.04253234063627348,0.704,0.0662117814289874,0.754,0.05624944444170094,6,25,0.75
adaptive_lab_3162592a,B,Instructions,100,high_noise,medium_noise,0.61,0.46,0.76,0.7545,0.728,0.781,0.7635000000000002,0.7769999999999999,0.75,0.7075,0.028084693339967222,0.628,0.0448998886412873,0.787,0.0486929152957594,0.6795000000000002,0.03412843389316303,0.563,0.05559676249567054,0.796,0.040792156108742275,5,19,0.81
adaptive_lab_390371f9,A,No Instructions,100,medium_noise,high_noise,0.45,0.42,0.48,0.7005,0.827,0.5740000000000001,0.681,0.8140000000000001,0.548,0.46849999999999997,0.03889408695418881,0.43100000000000005,0.0542125446737192,0.506,0.046518813398452034,0.45999999999999996,0.030331501776206204,0.41400000000000003,0.03693237062523877,0.506,0.0576541412215983,10,22,0.78
adaptive_lab_42003269,B,Instructions,100,high_noise,medium_noise,0.62,0.58,0.66,0.7144999999999999,0.722,0.707,0.7100000000000001,0.6690000000000002,0.7509999999999999,0.6575,0.04380353866983808,0.592,0.0620966987850401,0.723,0.06396092557178953,0.6579999999999999,0.04686149805543993,0.583,0.06364746656387825,0.7330000000000001,0.049507575177946246,3,24,0.76
adaptive_lab_4b7a6ad7,B,Instructions,100,medium_noise,high_noise,0.64,0.68,0.6,0.6715000000000001,0.7659999999999999,0.577,0.6495,0.731,0.5680000000000001,0.7005,0.02906458325866723,0.738,0.05325410782277738,0.6629999999999999,0.04616275555033516,0.7075,0.04097255178775175,0.753,0.048692915295759406,0.6620000000000001,0.04935585071701224,5,24,0.76
adaptive_lab_52ae4c1c,B,Instructions,100,high_noise,medium_noise,0.5,0.46,0.54,0.634,0.7130000000000001,0.555,0.614,0.706,0.522,0.512,0.03264965543462903,0.509,0.03871692136521188,0.515,0.06476881965884511,0.496,0.037202150475476564,0.502,0.045563142999578074,0.4900000000000001,0.04753945729601886,7,26,0.74
