participant_id,group,instruction_condition,n_trials,block1_condition,block2_condition,human_acc_overall,human_acc_block1,human_acc_block2,varvol_acc_overall,varvol_acc_block1,varvol_acc_block2,weber_acc_overall,weber_acc_block1,weber_acc_block2,varvol_match_overall,varvol_match_overall_std,varvol_match_block1,varvol_match_block1_std,varvol_match_block2,varvol_match_block2_std,weber_match_overall,weber_match_overall_std,weber_match_block1,weber_match_block1_std,weber_match_block2,weber_match_block2_std,task_switches,task_traps,task_beta
25da8b12-9a43-40cd-84f2-5b152a5f0f7f,A,No Instructions,100,high_noise,medium_noise,0.55,0.5,0.6,0.5785999999999999,0.5876000000000001,0.5695999999999999,0.5638000000000001,0.6155999999999999,0.5120000000000001,0.5105999999999999,0.04597434066955176,0.49119999999999997,0.05867333295458849,0.53,0.06690291473471092,0.48739999999999994,0.04107602707176049,0.47519999999999996,0.053823414978984754,0.4996,0.06627095894884877,6,33,0.6699999999999999
adaptive_lab_07ee303f,B,Instructions,100,high_noise,medium_noise,0.76,0.88,0.64,0.7067999999999999,0.738,0.6756,0.6993999999999998,0.7343999999999999,0.6644000000000001,0.7509999999999998,0.03333166662499793,0.7859999999999999,0.048041648597857256,0.716,0.0448998886412873,0.7513999999999998,0.03583350387556317,0.7811999999999999,0.0517548065400693,0.7216000000000001,0.0483056932462417,8,19,0.81
adaptive_lab_08d9887c,B,Instructions,100,high_noise,medium_noise,0.77,0.92,0.62,0.7132999999999999,0.7432,0.6834000000000002,0.7047,0.7417999999999999,0.6676000000000001,0.6967000000000002,0.043012905040231815,0.7748,0.058557322343153625,0.6186,0.07366165895498146,0.6998999999999999,0.03645531511316284,0.7861999999999999,0.05189951830219621,0.6136,0.05754163709871314,3,29,0.71
adaptive_lab_09b45851,A,No Instructions,100,medium_noise,high_noise,0.5,0.58,0.42,0.7033,0.7428,0.6638000000000001,0.7197000000000001,0.7595999999999998,0.6797999999999998,0.5709000000000001,0.03698905243447038,0.6103999999999999,0.049998399974399185,0.5314,0.05707924316246669,0.5617,0.03591810128612033,0.5967999999999999,0.04863907893864767,0.5266,0.04931977291107492,6,24,0.76
adaptive_lab_1671e99c,B,Instructions,100,high_noise,medium_noise,0.71,0.7,0.72,0.7675,0.7537999999999998,0.7812,0.7521000000000001,0.7149999999999999,0.7891999999999997,0.7222999999999999,0.035067221161648954,0.7002000000000002,0.05332879147327453,0.7444,0.047038707465235474,0.7221,0.03561727109142418,0.6966000000000001,0.05542959498318565,0.7476,0.04461210598032782,5,17,0.83
adaptive_lab_1ea56ad2,B,Instructions,100,high_noise,medium_noise,0.8,0.7,0.9,0.7510999999999999,0.6995999999999999,0.8025999999999998,0.7699999999999999,0.6916000000000001,0.8483999999999999,0.8111000000000003,0.03358258477246799,0.7980000000000002,0.042379240200834174,0.8242,0.04819087050469206,0.8116000000000001,0.03471944700020436,0.7731999999999999,0.05791165685766553,0.85,0.03810511776651531,4,23,0.77
adaptive_lab_22a6875c,A,No Instructions,100,medium_noise,high_noise,0.64,0.62,0.66,0.7074000000000001,0.7664000000000002,0.6484000000000001,0.6641999999999999,0.7772,0.5512,0.5740000000000001,0.04091454509095756,0.5711999999999999,0.05093682361514113,0.5768,0.05856415285821182,0.5544,0.04375659950224651,0.5783999999999999,0.05151155210241679,0.5304000000000001,0.07051127569403351,4,32,0.6799999999999999
adaptive_lab_2eade079,B,Instructions,100,high_noise,medium_noise,0.66,0.6,0.72,0.631,0.605,0.6569999999999999,0.621,0.6099999999999999,0.632,0.7175999999999999,0.037499866666429627,0.6901999999999998,0.053851276679388015,0.7449999999999999,0.05969087032369356,0.726,0.04142463035441597,0.6984,0.05703893407138671,0.7535999999999998,0.06025811148716827,6,25,0.75
adaptive_lab_3162592a,B,Instructions,100,high_noise,medium_noise,0.61,0.46,0.76,0.7456999999999999,0.7178000000000001,0.7736,0.7656000000000002,0.7846,0.7465999999999999,0.7076999999999998,0.03239922838587363,0.6365999999999999,0.05138521188046226,0.7788,0.04864730208346604,0.6789999999999998,0.034539832078341076,0.5558000000000001,0.052558158263013736,0.8022,0.04757268123618847,5,19,0.81
adaptive_lab_390371f9,A,No Instructions,100,medium_noise,high_noise,0.45,0.42,0.48,0.7011999999999999,0.8216000000000001,0.5808,0.6833,0.8031999999999999,0.5634000000000001,0.4648,0.03750946547206452,0.42320000000000013,0.04388348208608793,0.5064,0.05570493694458329,0.44510000000000005,0.04376059871619673,0.4008,0.04165765235824026,0.4894,0.06988304515402861,10,22,0.78
adaptive_lab_42003269,B,Instructions,100,high_noise,medium_noise,0.62,0.58,0.66,0.7239,0.7269999999999999,0.7207999999999999,0.7186,0.6884,0.7488000000000001,0.6476999999999999,0.03681996740900242,0.5946000000000001,0.05498036012977724,0.7008000000000001,0.05733550383488401,0.6456000000000001,0.0489963263929042,0.5816,0.0654632721455321,0.7096000000000002,0.05653176098442361,3,24,0.76
adaptive_lab_4b7a6ad7,B,Instructions,100,medium_noise,high_noise,0.64,0.68,0.6,0.6661999999999999,0.7634000000000001,0.569,0.6486,0.7238000000000001,0.5733999999999999,0.6962,0.03706157039306349,0.7377999999999999,0.0498714347096612,0.6546,0.05620355860619503,0.709,0.03675595189897821,0.7522,0.047319763313017536,0.6658000000000002,0.047774051534279556,5,24,0.76
